"node","stress_observations","normal_observations","retained_stress_weight","weighted_stress_value","weighted_normal_value","weighted_difference","measure","scenario","threshold_pct"
"NW",78,7193,1,0.0247189815209217,0.0171123687363455,0.0076066127845762,"gross_import_ratio","mid",0.01
"NW",78,7193,1,0.0150701800257942,-0.00823109045207659,0.0233012704778708,"raw_net_import_ratio","mid",0.01
"NW",78,7193,1,0.015724492500402,0,0.015724492500402,"net_import_dependence","mid",0.01
"NW",78,7193,1,0.0006543124746078,0.00823109045207659,-0.00757677797746879,"net_export_intensity","mid",0.01
"NW",78,7193,1,0.0256621867501344,0.0185170242789488,0.00714516247118555,"gross_import_ratio","upper",0.01
"NW",78,7193,1,0.0154873530061646,-0.00709273772949991,0.0225800907356645,"raw_net_import_ratio","upper",0.01
"NW",78,7193,1,0.0161357174540125,0,0.0161357174540125,"net_import_dependence","upper",0.01
"NW",78,7193,1,0.000648364447847908,0.00709273772949991,-0.006444373281652,"net_export_intensity","upper",0.01
"AECI",408,8172,1,0.219826343836418,0.165826692431955,0.0539996514044624,"gross_import_ratio","lower",0.05
"GCPD",437,8310,1,0.268290811486263,0.186065419421591,0.0822253920646725,"gross_import_ratio","lower",0.05
"PNM",438,8321,1,0.221765139899745,0.201185302832059,0.0205798370676863,"gross_import_ratio","lower",0.05
"PSCO",438,8311,1,0.0415883440493309,0.0249286191650213,0.0166597248843096,"gross_import_ratio","lower",0.05
"SCL",438,8156,1,0.582713589665149,0.497284315913044,0.0854292737521049,"gross_import_ratio","lower",0.05
"TPWR",438,8257,1,0.74021665596578,0.625070921730712,0.115145734235069,"gross_import_ratio","lower",0.05
"TVA",396,7591,1,0.126209676543276,0.0919769848324232,0.0342326917108526,"gross_import_ratio","lower",0.05
"AECI",408,8172,1,0.0422375789177679,-0.0742614458850062,0.116499024802774,"raw_net_import_ratio","lower",0.05
"GCPD",437,8310,1,0.0242269119787281,-0.139846791779569,0.164073703758297,"raw_net_import_ratio","lower",0.05
"PNM",438,8321,1,0.0110960572543524,-0.0667164760621314,0.0778125333164838,"raw_net_import_ratio","lower",0.05
"PSCO",438,8311,1,0.00710876300878128,-0.0220828933145474,0.0291916563233287,"raw_net_import_ratio","lower",0.05
"SCL",438,8156,1,0.581151715124152,0.495331771718125,0.085819943406027,"raw_net_import_ratio","lower",0.05
"TPWR",438,8257,1,0.647069194213468,0.545638922509665,0.101430271703803,"raw_net_import_ratio","lower",0.05
"TVA",396,7591,1,0.100597571249223,0.0394645389116026,0.0611330323376202,"raw_net_import_ratio","lower",0.05
"AECI",408,8172,1,0.04311457892303,0.000492357962727355,0.0426222209603027,"net_import_dependence","lower",0.05
"GCPD",437,8310,1,0.0987372967256603,0.0163846260456058,0.0823526706800544,"net_import_dependence","lower",0.05
"PNM",438,8321,1,0.0251706204998328,0.00675064387906248,0.0184199766207703,"net_import_dependence","lower",0.05
"PSCO",438,8311,1,0.0212210468948849,0.00350762873874083,0.0177134181561441,"net_import_dependence","lower",0.05
"SCL",438,8156,1,0.581151715124152,0.495331771718125,0.085819943406027,"net_import_dependence","lower",0.05
"TPWR",438,8257,1,0.647069194213468,0.545638922509665,0.101430271703803,"net_import_dependence","lower",0.05
"TVA",396,7591,1,0.100597571249223,0.0394645389116026,0.0611330323376202,"net_import_dependence","lower",0.05
"AECI",408,8172,1,0.000877000005262122,0.0747538038477336,-0.0738768038424715,"net_export_intensity","lower",0.05
"GCPD",437,8310,1,0.0745103847469322,0.156231417825175,-0.0817210330782424,"net_export_intensity","lower",0.05
"PNM",438,8321,1,0.0140745632454804,0.0734671199411939,-0.0593925566957135,"net_export_intensity","lower",0.05
"PSCO",438,8311,1,0.0141122838861036,0.0255905220532882,-0.0114782381671846,"net_export_intensity","lower",0.05
"SCL",438,8156,1,0,0,0,"net_export_intensity","lower",0.05
"TPWR",438,8257,1,0,0,0,"net_export_intensity","lower",0.05
"TVA",396,7591,1,0,0,0,"net_export_intensity","lower",0.05
"AECI",408,8172,1,0.235468701189077,0.167354596110813,0.0681141050782649,"gross_import_ratio","mid",0.05
"GCPD",437,8310,1,0.268644955978373,0.186465668946562,0.0821792870318112,"gross_import_ratio","mid",0.05
"PNM",438,8321,1,0.22176807325123,0.201245772571743,0.0205223006794875,"gross_import_ratio","mid",0.05
"PSCO",438,8311,1,0.0415883440493309,0.0249303598908465,0.0166579841584844,"gross_import_ratio","mid",0.05
"SCL",438,8156,1,0.587668041220979,0.499825852059908,0.0878421891610716,"gross_import_ratio","mid",0.05
"TPWR",438,8257,1,0.743363435406228,0.626719894280135,0.116643541126092,"gross_import_ratio","mid",0.05
"TVA",396,7591,1,0.128268933053393,0.0938290705759599,0.0344398624774329,"gross_import_ratio","mid",0.05
"AECI",408,8172,1,0.0563107012939,-0.0762015529377894,0.132512254231689,"raw_net_import_ratio","mid",0.05
"GCPD",437,8310,1,0.0240696098065253,-0.140025288012429,0.164094897818954,"raw_net_import_ratio","mid",0.05
"PNM",438,8321,1,0.011096679287263,-0.0666563063041334,0.0777529855913965,"raw_net_import_ratio","mid",0.05
"PSCO",438,8311,1,0.00710816266413588,-0.0220819330154717,0.0291900956796075,"raw_net_import_ratio","mid",0.05
"SCL",438,8156,1,0.586106166679982,0.497873307864989,0.0882328588149938,"raw_net_import_ratio","mid",0.05
"TPWR",438,8257,1,0.650215973653915,0.547287848655458,0.102928124998457,"raw_net_import_ratio","mid",0.05
"TVA",396,7591,1,0.0997267478847928,0.0371248256641175,0.0626019222206752,"raw_net_import_ratio","mid",0.05
"AECI",408,8172,1,0.0566197301275263,0.000472681687701263,0.0561470484398251,"net_import_dependence","mid",0.05
"GCPD",437,8310,1,0.098711183956931,0.0164201321508496,0.0822910518060814,"net_import_dependence","mid",0.05
"PNM",438,8321,1,0.0251735538513177,0.00675284711868698,0.0184207067326307,"net_import_dependence","mid",0.05
"PSCO",438,8311,1,0.0212204465502395,0.00350905748795112,0.0177113890622884,"net_import_dependence","mid",0.05
"SCL",438,8156,1,0.586106166679982,0.497873307864989,0.0882328588149938,"net_import_dependence","mid",0.05
"TPWR",438,8257,1,0.650215973653915,0.547287848655458,0.102928124998457,"net_import_dependence","mid",0.05
"TVA",396,7591,1,0.0997267478847928,0.0371248256641175,0.0626019222206752,"net_import_dependence","mid",0.05
"AECI",408,8172,1,0.000309028833626293,0.0766742346254906,-0.0763652057918643,"net_export_intensity","mid",0.05
"GCPD",437,8310,1,0.0746415741504057,0.156445420163278,-0.0818038460128725,"net_export_intensity","mid",0.05
"PNM",438,8321,1,0.0140768745640546,0.0734091534228204,-0.0593322788587658,"net_export_intensity","mid",0.05
"PSCO",438,8311,1,0.0141122838861036,0.0255909905034228,-0.0114787066173191,"net_export_intensity","mid",0.05
"SCL",438,8156,1,0,0,0,"net_export_intensity","mid",0.05
"TPWR",438,8257,1,0,0,0,"net_export_intensity","mid",0.05
"TVA",396,7591,1,0,0,0,"net_export_intensity","mid",0.05
"AECI",408,8172,1,0.251111058541737,0.16888249978967,0.0822285587520673,"gross_import_ratio","upper",0.05
"GCPD",437,8310,1,0.268999100470482,0.186865918471532,0.0821331819989499,"gross_import_ratio","upper",0.05
"PNM",438,8321,1,0.221771006602715,0.201306242311426,0.0204647642912886,"gross_import_ratio","upper",0.05
"PSCO",438,8311,1,0.0415883440493309,0.0249321006166717,0.0166562434326592,"gross_import_ratio","upper",0.05
"SCL",438,8156,1,0.59262249277681,0.502367388206772,0.0902551045700379,"gross_import_ratio","upper",0.05
"TPWR",438,8257,1,0.746510214846675,0.628368866829559,0.118141348017116,"gross_import_ratio","upper",0.05
"TVA",396,7591,1,0.13032818956351,0.0956811563194966,0.0346470332440133,"gross_import_ratio","upper",0.05
"AECI",408,8172,1,0.0703838236700322,-0.0781416599905724,0.148525483660605,"raw_net_import_ratio","upper",0.05
"GCPD",437,8310,1,0.0239123076343226,-0.140203784245288,0.164116091879611,"raw_net_import_ratio","upper",0.05
"PNM",438,8321,1,0.0110973013201737,-0.0665961365461355,0.0776934378663092,"raw_net_import_ratio","upper",0.05
"PSCO",438,8311,1,0.00710756231949048,-0.0220809727163959,0.0291885350358864,"raw_net_import_ratio","upper",0.05
"SCL",438,8156,1,0.591060618235813,0.500414844011853,0.0906457742239601,"raw_net_import_ratio","upper",0.05
"TPWR",438,8257,1,0.653362753094363,0.548936774801251,0.104425978293112,"raw_net_import_ratio","upper",0.05
"TVA",396,7591,1,0.0988559245203628,0.0347851124166324,0.0640708121037303,"raw_net_import_ratio","upper",0.05
"AECI",408,8172,1,0.0703838236700322,0.000453005412675172,0.069930818257357,"net_import_dependence","upper",0.05
"GCPD",437,8310,1,0.0986850711882018,0.0164556382560934,0.0822294329321085,"net_import_dependence","upper",0.05
"PNM",438,8321,1,0.0251764872028026,0.00675505035831147,0.0184214368444911,"net_import_dependence","upper",0.05
"PSCO",438,8311,1,0.0212198462055941,0.0035104862371614,0.0177093599684327,"net_import_dependence","upper",0.05
"SCL",438,8156,1,0.591060618235813,0.500414844011853,0.0906457742239601,"net_import_dependence","upper",0.05
"TPWR",438,8257,1,0.653362753094363,0.548936774801251,0.104425978293112,"net_import_dependence","upper",0.05
"TVA",396,7591,1,0.0988559245203628,0.0347851124166324,0.0640708121037303,"net_import_dependence","upper",0.05
"AECI",408,8172,1,0,0.0785946654032476,-0.0785946654032476,"net_export_intensity","upper",0.05
